2016/08/20 12:46:31 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: Loading user properties from: F:\wamp\www\apache-jmeter-3.0\apache-jmeter-3.0\bin\user.properties 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: Loading system properties from: F:\wamp\www\apache-jmeter-3.0\apache-jmeter-3.0\bin\system.properties 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: Version 3.0 r1743807 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: java.version=1.8.0_101 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) Client VM 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: os.name=Windows 10 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: os.arch=x86 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: os.version=10.0 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: Max memory     =523501568 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: Available Processors =2 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: JMeterHome=F:\wamp\www\apache-jmeter-3.0\apache-jmeter-3.0 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: user.dir  =F:\wamp\www\apache-jmeter-3.0\apache-jmeter-3.0\bin 
2016/08/20 12:46:32 INFO  - jmeter.JMeter: PWD       =F:\wamp\www\apache-jmeter-3.0\apache-jmeter-3.0\bin 
2016/08/20 12:46:36 INFO  - jmeter.JMeter: IP: 192.168.56.1 Name: DESKTOP-TC9J976 FullName: DESKTOP-TC9J976 
2016/08/20 12:46:37 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2016/08/20 12:46:37 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2016/08/20 12:46:38 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2016/08/20 12:46:38 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2016/08/20 12:46:40 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2016/08/20 12:46:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/08/20 12:46:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/08/20 12:46:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/08/20 12:46:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/08/20 12:46:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2016/08/20 12:46:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2016/08/20 12:46:42 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'C:\Program Files (x86)\Java\jre1.8.0_101\bin\keytool' 
2016/08/20 12:46:42 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file F:\wamp\www\apache-jmeter-3.0\apache-jmeter-3.0\bin\proxyserver.jks 
2016/08/20 12:46:42 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.config.MongoSourceElement 
2016/08/20 12:46:42 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.sampler.MongoScriptSampler 
2016/08/20 12:46:43 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.DistributionGraphVisualizer 
2016/08/20 12:46:43 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2016/08/20 12:46:43 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2016/08/20 12:46:43 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2016/08/20 12:46:43 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2016/08/20 12:46:43 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.SplineVisualizer 
2016/08/20 12:47:03 INFO  - jmeter.services.FileServer: Default base='F:\wamp\www\apache-jmeter-3.0\apache-jmeter-3.0\bin' 
2016/08/20 12:47:03 INFO  - jmeter.gui.action.Load: Loading file: F:\wamp\www\apache-jmeter-3.0\testconfig\MRT Test Plan.jmx 
2016/08/20 12:47:03 INFO  - jmeter.services.FileServer: Set new base='F:\wamp\www\apache-jmeter-3.0\testconfig' 
2016/08/20 12:47:03 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2016/08/20 12:47:03 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2016/08/20 12:47:03 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.9 
2016/08/20 12:47:03 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2016/08/20 12:47:03 INFO  - jmeter.save.SaveService: Loading file: F:\wamp\www\apache-jmeter-3.0\testconfig\MRT Test Plan.jmx 
2016/08/20 12:47:03 INFO  - jmeter.services.FileServer: Set new base='F:\wamp\www\apache-jmeter-3.0\testconfig' 
2016/08/20 12:51:01 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2016/08/20 12:51:01 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/08/20 12:51:01 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/08/20 12:51:01 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2016/08/20 12:51:01 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group Default 
2016/08/20 12:51:01 INFO  - jmeter.engine.StandardJMeterEngine: Starting 5 threads for group Thread Group Default. 
2016/08/20 12:51:01 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/08/20 12:51:01 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 5 ramp-up 1 perThread 200.0 delayedStart=false 
2016/08/20 12:51:01 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2016/08/20 12:51:01 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2016/08/20 12:51:01 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group Default 1-1 
2016/08/20 12:51:01 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = DESKTOP-TC9J976 
2016/08/20 12:51:01 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2016/08/20 12:51:01 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group Default 1-2 
2016/08/20 12:51:01 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group Default 1-3 
2016/08/20 12:51:02 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group Default 1-4 
2016/08/20 12:51:02 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group Default 1-5 
2016/08/20 12:51:09 INFO  - jmeter.gui.action.Start: Stopping test 
2016/08/20 12:51:09 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group Default 1-5 
2016/08/20 12:51:09 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group Default 1-5 sampler: Hompage 
2016/08/20 12:51:09 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group Default 1-5 
2016/08/20 12:51:09 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group Default 1-4 
2016/08/20 12:51:09 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group Default 1-4 sampler: Hompage 
2016/08/20 12:51:09 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group Default 1-4 
2016/08/20 12:51:09 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group Default 1-1 
2016/08/20 12:51:09 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group Default 1-1 sampler: Hompage 
2016/08/20 12:51:09 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group Default 1-1 
2016/08/20 12:51:09 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group Default 1-2 
2016/08/20 12:51:09 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group Default 1-2 sampler: Hompage 
2016/08/20 12:51:09 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group Default 1-3 
2016/08/20 12:51:09 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group Default 1-2 
2016/08/20 12:51:09 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group Default 1-3 sampler: Hompage 
2016/08/20 12:51:09 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group Default 1-3 
